Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
Central African Republic,2019,5168685,1.8,8.3,4.19,54,131.1
Chad,2019,16348657,3.19,13,5.79,57.9,117.6
Chile,2019,18053934,0.72,24.3,1.78,79.2,8
China,2019,1400797713,0.32,150.2,1.45,77.7,7.9
Colombia,2019,47829703,1.71,46,1.96,78.4,13.9
Comoros,2019,839591,1.51,375.7,3.08,66.3,83.5
Congo (Brazzaville),2019,5388825,2.34,15.8,4.11,71.6,51.2
Congo (Kinshasa),2019,98580816,3.19,43.5,5.83,60.5,89.1
Cook Islands,2019,8763,-2.64,37.1,2.14,76.4,20.6
Costa Rica,2019,5076609,1.07,99.4,1.6,80.4,7.2
Croatia,2019,4250505,-0.49,75.9,1.42,76.5,11.1
Cuba,2019,11086499,-0.26,101,1.71,79.1,5.4
Curaçao,2019,150827,0.37,339.7,2.01,78.8,9.4
Cyprus,2019,1252725,1.22,135.6,1.47,79.1,10.2
Czechia,2019,10748990,0.41,139.2,1.69,79.3,3.1
Côte d'Ivoire,2019,26858174,2.27,84.5,3.75,60.7,84
Denmark,2019,5841245,0.51,137.7,1.78,81.1,3.7
Djibouti,2019,900897,2.08,38.9,2.23,64.3,67.2
Dominica,2019,74442,0.12,99.1,2.02,77.6,13.8
Dominican Republic,2019,10428436,1.02,215.8,2.37,71.6,27
Ecuador,2019,17264296,2,69.5,2.39,81.8,13.9
Egypt,2019,101973865,2.04,102.4,3.27,73.6,22.4
